Date, Open, High, Low, Close
04/08/2015,284,286,281,286
15/03/2015,284,286,281,286
31/07/2015,287,289,283,286
10/11/2021,67354,68991,65269,65822
08/02/2017,1049,1070,1021,1054
03/06/2024,67718,70250,67556,69150
07/03/2019,3844,3890,3831,3870
23/09/2018,6717,6764,6663,6686
11/05/2019,6374,7024,6241,6942
15/09/2020,10674,10935,10622,10782
10/07/2019,12502,13191,11908,12062
08/11/2020,14870,15655,14686,15390
09/06/2022,30116,30662,29933,29982
03/07/2023,30559,31376,30469,31262
23/07/2021,32396,32888,32020,32286
21/11/2024,94377,99028,93885,98334
04/01/2025,98305,98610,97560,98590
07/12/2024,101582,101615,99096,100382
15/06/2021,39713,41306,39573,39966
21/09/2021,43864,43936,40267,42014
30/04/2024,62955,64684,59109,59166
12/10/2024,63080,63451,62343,63006
18/07/2024,64571,65097,63241,63518
30/07/2015,291,292,286,287
15/07/2017,2200,2225,1977,2079
07/02/2019,3363,3380,3353,3359
04/12/2018,3830,4030,3733,3871
06/08/2018,7016,7157,6889,6943
29/04/2020,7724,8970,7716,8735
03/03/2018,11044,11496,10950,11295
12/10/2020,11338,11594,11208,11551
08/07/2022,21832,22433,21188,21791
03/03/2023,23466,23550,22021,22303
18/04/2023,29485,30480,29136,30239
28/04/2022,38879,40359,38849,39967
17/03/2015,291,292,287,288
13/03/2015,297,297,286,288
12/07/2018,6347,6381,6144,6176
17/10/2018,6438,6482,6411,6432
13/11/2017,5950,6797,5651,6432
11/02/2020,9850,10383,9714,10272
18/07/2019,9750,10748,9299,10528
03/07/2022,19247,19505,18767,19488
21/05/2023,27073,27269,26818,26912
13/06/2021,35745,37701,34801,37664
16/04/2022,40323,40674,40033,40224
24/02/2021,47814,51409,47031,49184
24/07/2015,277,289,276,289
25/07/2015,289,292,287,289
13/07/2015,308,312,281,289
02/04/2024,69716,69910,64587,66081
26/06/2017,2469,2553,2286,2337
27/03/2024,69438,71715,68397,68641
25/05/2024,69198,69568,68511,69153
22/03/2020,6222,6451,5884,5921
22/08/2018,6434,6875,6386,6433
18/03/2018,7814,8055,7326,7457
16/01/2020,8808,8860,8588,8737
17/02/2018,9995,10894,9994,10785
09/08/2019,11558,12047,11496,11809
28/11/2020,17080,17893,16885,17697
13/03/2023,21073,24574,21056,24353
18/03/2023,26887,27818,26651,27425
24/04/2022,39765,39938,39022,39713
14/06/2021,37662,41023,37662,39713
